input,expected_answer
"A cattle ship abandoned by its crew off Italy with 450 migrants yesterday – many of them women and children - has been docked in Italy. Earlier, rescuers boarded the Ezadeen - a 50 year old ship designed to transport cattle - after a passenger raised the alarm as it drifted in the Mediterranean. The Sierra Leone-flagged, 240ft livestock carrier was found drifting without power about 40 nautical miles off the southern Italian coast. It had been put on a collision course for the Italian coast but ran out of fuel, officials said. Migrants celebrate after arriving in Corigliano Calabro, Italy, after rescuers boarded the transport cattle ship . A migrant pokes his head out the side of the ship - it had been put on a collision course for the Italian coast . The Sierra Leone-flagged, 240ft livestock carrier was found drifting without power off the south Italian coast . Italian coast guard officials, lowered by helicopter onto the bridge, took control of the ship, which was on automatic pilot. Italy's coastguard tweeted to say the ship had arrived in to port shortly before 10pm GMT. The coastguard commander in Corigliano Calabro, Francesco Perrotti, told the BBC all the migrants on board were from Syria. He said they were being taken by bus to other parts of Italy. He described the migrants' physical condition as relatively good after their three-day ordeal. It is believed to have set sail from Turkey, although earlier reports suggest it was from Cyprus. It is thought the migrants were victims of smugglers using an alternative route to the usual one from Libya. Weary migrants disembark the ship after it arrived at the port - they were taken by bus to various parts of Italy . The cargo ship was carrying 450 migrants, including pregnant women and children . The war in Syria has meant the numbers fleeing for Europe has increased dramatically . Migrants look out from the ship - they are often cramped on deck in bitter cold and with few supplies . The migrants' physical condition was described as being relatively good after their three-day ordeal . It came just 48 hours after six officials were dropped on to the deck of another ship, the Blue Sky M, packed with nearly 1,000 Syrians and Kurdish migrants that had been 'locked' on a crash course with the Italian coast. Italian coastguards brought it under control and safely docked it at the Italian port of Gallipoli on Wednesday. Authorities believe the traffickers have adopted 'a policy' of packing old, barely seaworthy vessels with desperate migrants and leaving them to their fate by abandoning ship during the journey. The ships – with their human cargo often cramped on deck in bitter cold and with few supplies – are fixed on a 'crash course' with the Italian coastline, their engines locked or simply allowed to drift towards land. Last year, it is estimated nearly 3,500 refugees died trying to cross the Mediterranean to reach Europe, while another 200,000 were rescued. The war in Syria has meant the numbers fleeing for Europe have risen dramatically, overtaking the numbers of Afghans, Eritreans, Tunisians and other nationalities seeking a new start.","Ship designed to transport cattle was abandoned by its crew off Italy .
Rescuers boarded the Ezadeen after a passenger raised the alarm .
The ship carrying 450 migrants has now arrived in Corigliano Calabro port ."
"Josh Beaumont may have to wait a while to become a team captain on A Question of Sport, but in many ways he is already emulating his father, Bill, as a rugby player. The 22-year-old Sale No 8 has been a successful skipper at Twickenham, led a national side and made the unorthodox transition from tall fly-half to athletic and skillful forward. Following in his dad’s footsteps all the way to England and Lions recognition will require this season’s giant strides to continue for some time at club level, but the youngest of three Beaumont brothers is showing considerable promise. Josh Beaumont has recently signed a new deal with Sale after a string of impressive performnces . A young Beaumont Jnr (right) pictured with his dad Bill and Prince William at Lions training session . Last month, his outstanding performances for the Sharks were rewarded with a new two-year contract — as further proof that his alternative route into the game has served him well. Instead of the modern staple of graduating from an academy, Beaumont Jnr played for Fylde in National League One before completing a Geography degree at Durham University, which significantly enhanced his rugby development and left some impressive entries on his c.v. It led him to the national stadium and later to the role of England Students captain. ‘I was captain of my uni team in the final year and we went unbeaten that season,’ said Josh. ‘I had a very successful three years up there and played at Twickenham three times. We beat Cardiff Met twice — in my first and third year — but we lost to Hartpury College in the second year. That was our one defeat in my three years there. ‘It was a great experience playing at Twickenham and hopefully I’ll be back there some day. In the final year, because I was captain, I collected the trophy. My dad was there on the front row but it wasn’t him who presented it to me.’ The 22-year-old has made the unorthodox transition from tall fly-half to athletic and skillful forward . Bill Beaumont, pictured in action against South Africa in 1980, captained the British and Irish Lions . Having a familiar rugby name has not always been a blessing. When he was younger, Josh felt being a Beaumont meant he was vulnerable to unfair suggestions of nepotism, but over time he has found his father’s background helpful. ‘When I was younger it was probably a bit of a burden because people would say, “You’re only playing because of your dad”,’ he said. ‘But when you get to this level, you can’t bluff your way through and people understand that. I still get some comments but I just ignore them. It is beneficial because he knows a lot about the game and offers advice, but doesn’t get too involved.’ The game is very different now compared to when Bill was a Grand Slam-winning national icon in the late Seventies and early Eighties. Father and son have enjoyed light-hearted comparisons between their eras. ‘I’ve watched a couple of his games and it’s completely different,’ said Josh. Beaumont, in action for Sale against Saracens, is tackled by Richard Wigglesworth . ‘Some of the stories he comes out with, about old-school rugby… you wouldn’t get away with it now! It’s quite amusing to watch, but I haven’t seen many of his games because it was so long ago — 10 years before I was born.’ The game is much cleaner these days than it was in Bill’s pomp. ‘Back then, you would have had players sent off every five minutes if there had been all the cameras and replays there are now,’ said Josh. ‘Dad jokes that it was tougher in those days and I wouldn’t have lasted five minutes in the Seventies and Eighties!’ Having played rugby at Fylde — his dad’s old Lancashire club — since the age of seven, Josh relished the chance to work with Brian Ashton and Jason Robinson when he broke into the first team as a teenager. Beaumont captained the Durham University rugby team while he studied geography at the institute . By then, he had been advised that his physique was more conducive to playing in the pack, rather than the back-line. ‘When I got to about 16, the coaches suggested I moved into the forwards,’ he said. ‘Before, I was probably the tallest fly-half around — it got a bit ridiculous after a while!’ While his role as RFU chairman and the family textile business keeps him busy, Bill finds time to watch Josh most weekends — as well as older brother Sam, who still plays at Fylde. He is full of paternal pride but plays down his role in his son’s rugby education. ‘He has done really well this season, after missing most of last season with injuries,’ he said. ‘Josh is the youngest of three boys, so whatever games were being played on the lawn he had to get stuck in with older brothers and I think that has helped him. He’s always been a good sportsman, a good ball-player and once he moved into the forwards, he has made great progress. Beaumont Snr  (left) shakes hands with JPR Williams after a Five Nations match between England and Wales . ‘I just try to give him some advice, that’s all. I was quite keen that he did his degree before going into rugby full-time. He really enjoyed university rugby and was lucky to be at Durham when they had a really good team. It meant he got to play at Twickenham three times, which he really enjoyed.’ Bill will be at the Ricoh Arena in Coventry tomorrow to watch Josh play for Sale against Wasps in the Aviva Premiership. One day, he may be able to watch him represent his country at Twickenham — but he won’t burden him with inflated expectation. ‘I don’t want to put any pressure on the lad,’ he said. ‘First, he has to establish himself as a Premiership player and if he does that, who knows what might happen?’","Josh is the son of former England and Lions captain Bill Beaumont .
Beaumont Jnr plays for Sale Sharks in the Aviva Premiership .
The No 8 recently signed a new two-year deal after impressing this season ."
"England No 8 Ben Morgan has signed a new contract with Gloucester after turning down a move to West Country rivals Bath. The 25-year-old joins Jonny May and Matt Kvesic in committing to the club. It is a significant piece of business for Gloucester, whose Aviva Premiership rivals Bath will now pursue South Africa back row Duane Vermeulen. ‘Everyone knows how much Gloucester mean to me and my family, so I’m delighted to be staying,’ said Morgan. ‘I’m enjoying my rugby and being part of a talented group who are improving week by week. Ben Morgan (right) has signed a new contract at Gloucester and turned down the chance to join Bath . England international Morgan joins Jonny May and Matt Kvesic in committing his future to the club . ‘I believe there is a bright future for the club, and look forward to being part of it.’ Morgan joined Gloucester in 2012 and has been capped 27 times by England. He was named QBE Man of the Series for his displays during the autumn internationals. He will return from injury to start Gloucester’s match against Exeter at Sandy Park today. Morgan began his career with the Scarlets, who yesterday tied up the services of Wales lock Jake Ball on a national dual contract. Morgan is tackled by Lee Dickson during an Aviva Premiership match against Northampton . Ball, 23, attracted interest from Northampton but follows Sam Warburton, Dan Lydiate, Rhodri Jones, Hallam Amos and Tyler Morgan in agreeing a joint deal with the WRU and the Regions. ‘Jake’s signing on a national dual contract is another important step for the future of the game in Wales,’ said Wales head coach Warren Gatland. ‘A player of Jake’s calibre and age attracted serious interest from outside Wales but the introduction of such contracts means another international has committed his future to Wales and his region.’","Ben Morgan has signed a new contract at Gloucester .
England No 8 turned down chance to move to rivals Bath .
The 25-year-old believes there is a bright future at the club ."
"Exit plan: Art critic Brian Sewell knows how and where he wants to die . Every night I swallow a handful of pills. In the morning and during the day I swallow others,  haphazardly, for I am not always in the right place at the right time, but at night there is a ritual. I undress. I clean my teeth. I wipe the mirror clear of splashes and see with some distaste the reflection of my decaying body, wondering that it ever had the impertinence to indulge in the pleasures of the flesh. And then I take the pills. Some are for a heart that too often makes me feel that I have a misfiring single-cylinder diesel engine in my rib-cage. Others are for the ordinary afflictions of age and still others ease the aches of old bones that creak and crunch. All in their way are poisons – that they do no harm is only a matter of dosage. I intend, one day, to take an overdose. Not yet, for the experts at that friendly and understanding hospital, the Brompton in Kensington, manage my heart condition very well. But the bone-rot will reach a point – not beyond endurance but beyond my willingness to endure it – when drugs prescribed to numb the pain so affect the functions of my brain that all the pleasures of music, art and books are dulled, and I merely exist. An old buffer in a chair, sleeping and waking, sleeping and waking. The thought of suicide is a great comfort, for it is what I shall employ if mere existence is ever all that I have. The difficulty will be that I must have the wit to identify the time, the weeks, the days, even  the critical moment (for it will not be long) between my recognising the need to end my life and the loss of my physical ability to carry out the plan. There is a plan. I know exactly what I want to do and where I want to do it – not at home, not in my own bed. I shall write a note addressed ‘To whom it may concern’ explaining that I am committing suicide, that I am in sound mind, that no one else has been involved and, if I am discovered before my heart has stopped, I do not want to be resuscitated. Confronting death: Mr Sewell says that he one day intends to end his life and he finds it a 'great comfort' With this note in my pocket, I shall leave the house and totter off to a bench – foolishly installed by the local authority on a road so heavy with traffic that no one ever sits there – make myself comfortable and down as many pills as I can with a bottle of Bombay Gin, the only spirit that I like, to send them on their way. With luck, no one will notice me for hours – and if they do, will think me an old drunk. Some unfortunate athlete will find me, stiff with rigor, on his morning jog. I have left my cadaver to a teaching hospital for the use and abuse of medical students – and my sole misgiving is that, having filled it with poisons, I may have rendered it useless. There are those who damn the suicide for invading the prerogative of the Almighty. Many years, however, have passed since I abandoned the beliefs, observances and irrational prejudices of Christianity, and I have no moral or religious inhibitions against suicide. I cherish the notion of dying easily and with my wits about me. I am 82 tomorrow and do not want to die a dribbling dotard waiting for the Queen’s congratulatory greeting in 2031. Nor do I wish to cling to an increasingly wretched life made unconscionable misery by acute or chronic pain and the humiliations of nursing. What virtue can there be in suffering, in impotent wretchedness, in the bedpans and pisspots, the feeding with a spoon, the baby talk, the dwindling mind and the senses slipping in and out of consciousness? For those so affected, dying is a prolonged and degrading misadventure. ‘We can ease the pain,’ says another of this interregnum between life and death. But what of those who want to hurry on? Then the theologian argues that a man must not play God and determine his own end and prates of the purification of the soul through suffering and pain. But what if the dying man is atheist or agnostic or has lost his faith – must he suffer life longer because of the prejudice of a Christian theologian? And has it occurred to no theologian that God himself might inspire the thought of suicide – or is that too great a heresy? Distinguished career: Mr Sewell at the Natural History Museum in London as a young critic . Suicide may even be a noble act. During the Battle of the Atlantic in the Second World War, there were many examples of suicidal heroism when men relinquished hold on  dinghies or flotsam for the sake of other men, and swam away to die. I have no doubt that in Afghanistan now some soldiers have taken suicidal risks for their peers in the platoon. Self-sacrifice may in such circumstances be a response more powerfully instinctive than self-preservation. These are suicides whom we do not hesitate to honour. Surely self-sacrifice and suicide are different only in degree? Why then do so many of us deplore the calculated suicides of those who see no point in the endurance of pain or the emptiness of a life maintained and conditioned by drugs, or a life simply not worth living? My mother had an extraordinary will to live and, when the demons of dementia stormed her brain, she retreated into her girlhood and lived her early life again, while nurses attended to the functions of the shrivelled bag of bones that her body had become. She was, in some wonderful way, content with what she had and determined to continue with it. But other women in my life offer very different examples. Frances, told that chemotherapy might give her six more months and that without it she would die in three, kept her joyful wits and glossy hair and lapsed into unconsciousness at home, content to know that she was still beautiful. Mary, swept into hospital with pancreatic cancer with only weeks to live, was given morphine, but contrived to increase the dose so that it killed her overnight. Lillian, on the other hand, a sometime ballet dancer, dying of old age, her frail body  littered with the tubes and wires of medical salvation, woke from near-death to ask: ‘Oh God, am I still here?’ A cry for pity, yet she was compelled to endure another month before death naturally supervened. It was Mary who introduced me to the idea of assisted dying, the then euphemism for an act of suicide of which the subject was incapable without help. She talked often of her wish to go quickly and easily when the time came, but had discovered that if she could not manage it herself, she could not rely on her doctor to do the deed. Determined: Mr Sewell, pictured at home in London, wants Parliament to allow doctors to help patients end their own lives . The Zurich solution she found too complicated, cold and alien. ‘Will you give me the push?’ she asked. I gave her the answer she wished to hear, but had not the foggiest notion of how it could be done.  I asked a doctor friend, but he  adamantly refused to answer. It is not fair to ask one’s doctor, for his oaths oblige him to do the very opposite. It is the doctor, indeed, who may save the life of the despairing suicide – the victim not of age, but of broken marriage or love affair, of failed career or bankrupt business, or the adolescent who feels disgraced by academic failure or sexual direction. It was the 16th Century Spanish mystic St John of the Cross who in ‘the dark night of the soul’ conjured the perfect picture of despair as the point of stifling hopelessness beyond which nothing lies. This is suicide of a very different kind, from which, if discovered in time with understanding, sympathy and love, there may well be a dawn to the dark night. But I speak for those of sound mind who have considered what is to be done with them if their bodies let them down in ways that are beyond endurance and who have left it too late to inflict death on themselves. To ask close members of the family is not only to cast them into the deep, dark and ancient anguishes explored by the dramatists of classical Greece, but to put them in legal jeopardy. To ask a friend is to require of him the greatest act of love, for he too is vulnerable to the law. In December 1997, Parliament debated the ‘Doctor Assisted Dying Bill’. This was to give those who suffer incurable illness, terminal illness or dire physical impairment the right to commit suicide when they are physically incapable of the act, calling on doctors to provide the means to pursue the execution. Much talk was the immediate consequence, but no action followed. It is time to try again. Could Parliament not at least pass a Bill that allows doctors to assist the dying of patients who, unquestionably lucid and articulate, have expressed an unequivocal and determined choice? It is so simple – it is a living will, a witnessed legal document clearly expressing the wish to be put into the arms of Morpheus if we are stricken mute and motionless. Brian Sewell ‘The Orwell Essays: A Selection of his Prize-Winning Journalism’ (Quartet Digital, £2.99) is available by clicking here.","Brian Sewell reveals his plans to commit suicide with gin and pills .
The venerable critic does not see the virtue of 'merely existing'"
"Happy New Year and 2015 promises to be an exciting year for rugby with the Rugby World Cup taking place in England in September and October. But the year starts, in Scotland, with the return leg of the 1872 Cup on Friday at Murrayfield and my New Year wish is that we get a better game than we had last week at Scotstoun. But before I get to the rugby, I really think this game is a missed opportunity. I am told they are expecting a crowd of 12,000 to 14,000 which is way above Edinburgh’s average home attendance. But why are we not trying to fill Murrayfield? Harlequins filled Twickenham’s 82,000 seats last week for their match against Northampton, Leinster move the Munster game to the Aviva and get 50,000 and Saracens have had 90,000 in Wembley. They have all done this by getting two things right, first marketing the game properly and second, get the ticket prices right. Harlequins titled their game last week ‘Big Game 7’ and by doing this they created a product that they priced right and sold the product using social media as a way to attract new fans. They put on entertainment which meant the whole experience was one that will entice some of the first-timers to come back to another game. A general view of Murrayfield Stadium in Edinburgh last September . Twickenham was packed for the Premiership match between Harlequins and Northampton last week . Scottish Rugby has marketed this game  in the usual way they always market the game and, as a result, they will get the usual crowd. This was a great opportunity to try something different as everyone is looking for something to do by the 2nd January. I would love to have seen an attempt made to fill Murrayfield and try and attract the latent support for rugby that exists in Edinburgh. Remember, 38,000 fans came to Murrayfield to see Edinburgh play Toulouse in the Heineken Cup a few years ago so the support is there, it just needs to be attracted in. Make the tickets £10 for adults and kids free, bombard social media and other advertising mediums with a campaign to ‘Fill Murrayfield, and get people talking about the game. As usual at this time of the year, I have been at many social gatherings yet nobody was talking about the game at Murrayfield which is a shame. Aim for 60,000 and if you only get 40,000 on first attempt, make sure the experience is such that we fill it the following year. There is an element of a feel-good factor within Scottish Rugby with Glasgow doing so well and Scotland having a promising Autumn Series so this was the time to try something different. None of this is ground breaking, it is what many clubs have done with success for a number of years and I hope we have a crack at this next year. Edinburgh players applaud their Glasgow opponents off the pitch after the first leg of the 1872 Cup . If we do want a bigger crowd to attend these matches, the quality of rugby on offer needs to be better than we saw in the first leg and I think it will be on Friday. The big Murrayfield pitch and the quality of the new pitch should allow this to happen but the attitude of both teams needs to be better than last week. Both teams seemed only concerned with stopping the opposition playing and this played right into Edinburgh’s hands. They have made themselves hard to play against with being strong in defence and very competitive in the tackle area. They lack creativity and have picked Greg Tonks at stand off when I felt they looked more dangerous when he was moved to full back last week. But they still have quality players in Matt Scott, Dave Denton and Ross Ford and these guys will be desperate to put one over the team that have dominated the Scottish game for a number of years now. Glasgow Warriors' Josh Strauss crosses the line to score a try in the first leg last week . Glasgow have the better players and, if they get their off-loading game going which allows their dangerous runners to find space, they will cause Edinburgh all sorts of problems. The selection of Tyrone Holmes is interesting as he is a specialist open side which would suggest Glasgow intend to play a faster and wider game than last week. This may have been decided for them with Rob Harley’ s injury but Holmes’ battle with Roddy Grant at the breakdown will be key. Glasgow have too much quality for Edinburgh in the starting team as well as the bench where they have the luxury of bringing on two Lions in Euan Murray and Stuart Hogg so I expect Glasgow to win. If they get their attitude and execution right they could even get the bonus point win as well as the 1872 Cup for another year.","The return leg of the 1872 Cup takes place at Murrayfield on Friday night .
Glasgow beat Edinburgh 16-6 in the first leg last week .
A crowd of 12,000 to 14,000 is expected in Edinburgh ."
"Rory McIlroy has been named the 2014 Race to Dubai European Tour Golfer of the Year after a stunning season on both sides of the Atlantic. The Northern Irishman won the Race to Dubai and topped the PGA Tour money list, as well as winning the Open Championship and US PGA Championship as he reclaimed the world No 1 spot. The 25-year-old also won the WGC-Bridgestone Invitational and the BMW PGA Championship at Wentworth, and adds the honour to the Golf Writers Trophy he was awarded last week. Rory McIlroy visited the Coolmore Racing Stud at Ballydoyle in Ireland on Monday . McIlroy poses with the Claret Jug after wining The Open at Hoylake in July . McIlroy, pictured here at the Ryder Cup, reclaimed the world No 1 spot after a brilliant season . McIlroy also played in all five sessions as Europe won the Ryder Cup at Gleneagles, claiming three points as the United States were defeated 16.5-11.5 . 'To be named the European Tour's Golfer of the Year for a second time is a huge honour and one I am extremely proud of,' he said. 'If I had won any one of those four titles it would have been a good year, but to win all four, to win The Race to Dubai, and to be part of another fantastic European victory in The Ryder Cup, means it is a great one. The Northern Irishman has been named the 2014 Race to Dubai European Tour Golfer of the Year . 'This award is a very nice way to round off the year. The European Tour has always been good to me, so it is always special to be recognised in this way. Hopefully I can have more years like this one and win the award again.' The award is decided by a panel comprising members of the Association of Golf Writers and commentators from television and radio and McIlroy has been awarded the honour for the second time after also winning in 2012. European Tour chief executive George O'Grady said: 'The 2014 season will go down as one of the greatest in the European Tour's history, and it will be defined by Rory McIlroy's astounding accomplishments on the global stage. McIlroy celebrates Europe's 2014 Ryder Cup triumph at Gleneagles in Scotland . McIlroy finished runner-up to Lewis Hamilton in the 2014 Sports Personality of the Year Awards . 'Europe's performance to retain the Ryder Cup and Martin Kaymer's dominant victories in the US Open and Players Championship on the US PGA Tour alone would have made it a year to remember for European golf, but Rory's victories in four of the biggest championships on our international schedule will ensure the story of this season is retold for many years to come. Quite rightly, therefore, it is Rory who receives our Golfer of the Year Award for 2014. 'Rory is a fine ambassador for the game of golf and a loyal supporter of the European Tour, as he has shown with his backing of the Irish Open next year, so we are all very proud of his success, not only during this year but across his career to date.' The 25-year-old won the BMW PGA Championship at Wentworth in May .","Rory McIlroy recognised for stunning season on both sides of the Atlantic .
Northern Irishman won the Race to Dubai and topped PGA Tour money list .
McIlroy also clinched the Open Championship and US PGA Championship .
Twenty-five-year-old was part of successful European Ryder Cup side .
McIlroy's exploits also saw him reclaim the world No 1 spot ."
"The sport of darts is probably undergoing its biggest transformation at the elite level in more than two decades. Yet one thing always seems to be constant: Phil ‘The Power’ Taylor remaining in the hunt for the world crown. The 2015 William Hill PDC world darts championship, which reaches the quarter-final stage on Thursday evening, could mark the watershed moment that England’s dominance of the arrows comes to an end. Of the eight quarter-finalists, only two — Taylor and reigning BDO world champion Stephen Bunting — are English. The remaining six consist of three Dutchmen, including defending champion Michael van Gerwen, and three Scots. Phil 'The Power' Taylor is one of just two English players who have made the World Championship last eight . Taylor flashes a broad smile as he walks onto the oche at the Alexandra Palace to face Kim Huybrechts . A changing of the guard seems to be underway. To put this all into context, this is the fewest number of Englishmen since three made the last eight in 2009. Between 1998-2000 and 2004-06, the last eight comprised completely of home-grown throwers. One man who has been there throughout — and still continues to deliver — is Taylor, who plays Dutchman Vincent van der Voort on Friday evening in his record 20th quarter-final appearance at the PDC worlds. The 16-time world champion, who survived a tough third-round examination by Belgian Kim Huybrechts on Tuesday, reckons he enters the New Year, at 54 years old, playing as good as ever. ‘The experience I have, the talent I have, I’m only going to get better,’ he said. ‘I’m practising better, I’m improving, my darts are better and I’m going to get better — trust me. Dutchman Vincent van der Voort is Taylor's next opponent in the quarter-finals . Stephen Bunting, the reigning BDO world champion, is the only other Englishman in the last eight . 'I’m not going to bow down to anybody. I mean that in all sincerity. I’m improving. Age will not weary me — not for the next three years anyway. ‘The standards are now are higher compared to 10 years ago. Players are hungrier, more aggressive. I’ve had to adapt. These young kids are playing week-in, week-out. They have so much energy, pounding away, they don’t fear anyone. ‘My victory over Kim was massive. That could win me the world championship — the rest of the field will be going “oh s***” because I’m still in.’ No 1 seed Van Gerwen plays Robert Thornton in the last eight on Thursday night. Then, there is a belated Hogmanay present as two popular Scots, Peter Wright and Gary Anderson, take to the Ally Pally oche. Michael van Gerwen, of Holland, is the favourite to retain his World Championship crown .","The PDC World Darts Championship has reached the quarter-final stage .
Only two English players - Phil Taylor and Stephen Bunting - remain .
There are three Dutchmen and three Scots in Alexandra Palace last eight .
Taylor is making his 20th appearance in the World Champs quarters .
'I'm not going to bow down to anybody,' insists bullish Taylor ."
"Phil Taylor survived a scare to reach the quarter-finals of the 2015 World Darts Championship on Tuesday night despite the antics of Kim Huybrechts at the Alexandra Palace. The 16-time record world champion was visibly annoyed whenever Huybrechts celebrated, and punished the Belgian by coming from behind three times to win 4-3. The Power warned the 29-year-old on Sunday he was looking forward to a ‘good scrap’ and that there would ‘be trouble’ if Huybrechts jumped around on stage as he normally does. 16-time world champion Phil 'The Power' Taylor celebrates his narrow victory on Tuesday evening . Taylor’s threats did little to deter Huybrechts from getting up to his usual tricks but the psychological ploy did not get the better of The Power. ‘I’m speechless. I’m through. I’m still in,’ Taylor said. ‘I’m going to get ready for the next round now. I’m over the moon, I really am. I’m going to get better. I’m going to improve. Trust me, I’m going to get better.’ Taylor’s 102.5 average to Huybrechts’s 96.9 paid off in the end, thought the underdog surprised by taking the first set in front of a sold-out 2,500 crowd at the Ally Pally. Kim Huybrechts clearly agitated Taylor with his flamboyant celebrations during their match at the Ally Pally . Huybrechts danced around as he twice lead Taylor and even had a 141 checkout to win the match . The Power made it 1-1 then had to come from behind again after losing the third, where he was being wound up by his opponent’s flaunting celebration. After levelling it at 2-2, Taylor walked away from the oche mumbling to himself. Huybrechts went ahead again, making it 3-2, putting him one set away from a major upset. He had a 141 finish to win the match, but was unable to do so. Taylor responded, making it 3-3, and made a point to smile at his opponent after retrieving his darts from the board. The Power won the match 4-3 with double 18 his final stab, and the pair shook hands. Taylor thanks the crowd after securing a tense win over Kim Huybrechts in the last-16 at the Ally Pally . Here's an incredible shot of Taylor's throw in action during his last-16 clash at the Ally Pally on Tuesday . The Ally Pally was rocking as record 16-time world champion Phil Taylor was pushed close to defeat . ‘I’m going to be back. I’m going to work hard and be there again and try as hard as I can,’ Huybrechts said. ‘That’s new for me. Phil has been on that stage 30, 40 times. It’s my fourth time. ‘I’ve done myself proud, fans proud, sponsors, proud. I’m happy. I fought until the end. People can blame me celebrating in the end, but I’ve done myself proud.’ Taylor would not have been the only former world champion to be booted from the competition that offers £250,000 to the winner. Adrian Lewis, winner in 2011 and 2012, hit a nine-darter but ultimately lost 4-3 against Raymond van Barneveld earlier in the night. VIDEO Adrian Lewis finishes a superb nine-darter vs Raymond van Barneveld . Raymond van Barneveld also won 4-3 on Tuesday evening by beating 2011 and 2012 champion Adrian Lewis .","16-time world champion visibly annoyed by his opponents celebrations .
Kim Huybrechts led Taylor 3-2, missing a 141 finish to win the match .
Taylor recovered to win the match 4-3 with double 18 .
Raymond van Barneveld also won 4-3 against Adrian Lewis .
Two-time champion Lewis out despite throwing a nine-darter ."
"Peter Wright sailed into the quarter-finals of the World Darts Championship as he made light work of Andy Hamilton, winning 4-0 in the third round match. The Scot, a finalist in last year's tournament, breezed into the last eight with an imperious display at Alexandra Palace on Tuesday. Wright, nicknamed Snakebite, will face compatriot Gary Anderson in the quarters after he beat Spanish qualifier Cristo Reyes. Peter Wright breezed past Andy Hamilton 4-0 in the World Darts Championship on Tuesday . Wright steamed into the last eight and will play fellow Scot Gary Anderson in the quarter-final . World No 5 Wright averaged just over 102 and threw five maximums during the match . Wright produced an imperious display and only lost four legs all match . World No 5 Wright averaged just over 102 and threw five maximums as he snuffed out any possibility of an upset as Hamilton registered just four legs. Wright blitzed the opening set but edged a closer second, before ruthlessly rounding off the whitewash to take a comfortable 4-0 victory. Anderson surprisingly lost the opening set against Reyes before winning the next four to set up an all Scottish quarter-final. Gary Anderson booked his place in the last eight as he eased past Cristo Reyes on Tuesday . Anderson beat Reyes 4-1 to set up a quarter-final match with Wright on Thursday .","Peter Wright beat Andy Hamilton 4-0 in the World Darts Championship .
Wright will play fellow Scot Gary Anderson in  Thursday's quarter-final .
Anderson beat Spanish qualifier Cristo Reyes 4-1 on Tuesday ."
"Adrian Lewis sensationally hit a nine-darter on Tuesday — only the eighth achieved in the 20-year history of the PDC World Darts Championships — yet somehow contrived to lose to an inspired Raymond van Barneveld. Players often hit nine-dart finishes in practice but then struggle to repeat the feat on the main stage in front of a live audience. Yet, in the fifth leg of the first set, two-time world champion Lewis gave the 2,500 capacity crowd a memorable moment by hitting two 180s, treble 20, treble 19 and double 12 with nine perfect darts. Raymond van Barneveld celebrates after beating Adrian Lewis in a thrilling encounter . The Dutchman won the match 4-3 after Lewis had hit a nine-dart finish in the first set . Van Barneveld shakes hand with opponent Lewis after earning a quarter-final spot . However, as is sometimes the case, the person who accomplishes such a wonderful feat suddenly loses focus and concentration. Lewis missed one match dart in the sixth set to move into the quarter-final and the Dutchman punished him, completing a 4-3 victory with his sixth match dart. 'What a game,' said an exhausted Barney. 'After he hit the nine-darter, I thought: 'Hold on, is this the standard?' 'But he struggled to hit his trebles or big shots afterwards. I don't know what to say. I'm so happy. I never gave up and I took my chances.' Lewis shrugs to the crowd after hitting first nine-dart finish of the World Darts Championship . Opponent Van Barneveld congratulates Lewis after earning himself £10,000 in prize money . Jackpot fist pumps to the crowd in celebration after claiming the first set with the nine-darter . For once, this was a darts contest that lived up to its billing. This was the first time the two tungsten titans, with seven world titles between then, had met at this level and while the doubles ratios were poor given their respective calibre, there was plenty of drama and tension on offfer. It was undoubtedly the best match of this tournament. 'It was my own fault,' Lewis said. 'I hit a nine-darter on the stage and then also in the warm-up during the break. But that's no consolation. I played well enough to walk off 4-0. He got away with it.' Phil Taylor reached the world championships quarter-final for the 20th time in 22 years following a feisty 4-3 victory over Kim Huybrechts. Phil Taylor beat Kim Huybrechts 4-3 during a tense encounter to reach the quarter-final . It is the 20th time in the last 22 years that Taylor had made the last eight of the world championships . Though the pair embraced at the end, Taylor was visibly unhappy throughout with the Belgian's wild histrionics on the stage whenever he hit a checkout. But the Power possessed greater class and guts when it mattered, coming from 2-1 and 3-2 down to prevail in the final set. Taylor, who now plays Vincent van der Voort in the last eight on Friday, said: 'Kim was full of beans, giving it large after every big shot. He seemed to throw more right-handers than Nigel Benn in celebration. But I knew that I have been there before, Kim hasn't, and that was the difference.' In the first match of the afternoon session, Peter Wright thrashed Andy Hamilton 4-0 despite suffering from dreaded 'man-flu'. Peter Wright breezed past Andy Hamilton 4-0 in the World Darts Championship on Tuesday . Wright steamed into the last eight and will play fellow Scot Gary Anderson in the quarter-final . Gary Anderson booked his place in the last eight as he eased past Cristo Reyes on Tuesday . 'Snakebite', who was defeated by Michael van Gerwen in the 2014 final, has been struggling with a cold since the Christmas break. 'I got a bit of man-flu at the moment,' said the Scot. 'I got it yesterday and I'm glad the match did not go any further. All my right side was totally numb the whole night as I slept on it — now I'm going to have a Lemsip.' Wright, the No 5 seed, will face Gary Anderson (No 4) in the quarter-finals. Despite a painful tooth abscess, the 'Flying Scotsman' overcame the Spanish preliminary qualifier Cristo Reyes 4-1.","Adrian Lewis hit the tournament's first nine-dart finish on Tuesday .
But Raymond van Barneveld beat the Brit 4-3 to reach quarter-final .
Peter Wright and Gary Anderson also booked their places in the last eight ."
