input,expected_answer
"London (CNN) -- Police in northern England were called to investigate this week after children who were out trick-or-treating for Halloween were given small snap-top bags of what turned out to be cocaine. The bags, containing white powder, were given to police after they were handed to the children Wednesday evening in the small town of Royton, Greater Manchester Police said in a statement. Testing confirmed that they contained cocaine, and a man was arrested. Donald Junior Green, 23, has been charged with drug possession and is due before a magistrates' court in Oldham, near Manchester, on Friday. A 21-year-old woman was arrested on suspicion of drug possession and was later released without charge, police said. Police Superintendent Catherine Hankinson said: ""The parents and police acted quickly when this report was made, in the interests of public safety. ""We understand this to be an isolated incident.""","Police were alerted after children were given small bags of white powder .
They were out trick-or-treating in the town of Royton, near Manchester .
A 23-year-old man is due in court Friday charged with drug offenses .
""We understand this to be an isolated incident,"" police superintendent says ."
"(CNN) -- A botched gun probe that allowed hundreds of weapons to reach Mexico's drug cartels is likely to be a lingering but not fatal controversy for the Obama administration, observers said Wednesday. Republicans in Congress have been publicly pounding Justice Department officials since June, when whistleblowers from the Bureau of Alcohol, Tobacco, Firearms and Explosives testified to a House committee about the ill-fated ""Operation Fast and Furious."" The operation, launched in 2009, was aimed at cutting off the flow of guns to Mexico's drug cartels through straw buyers, but it allowed about 2,000 weapons to reach the hands of the cartels. In December 2010, two weapons sold under the Fast and Furious program were found at the scene of the killing of a Border Patrol agent in the Arizona desert. ATF agents kept their Mexican counterparts in the dark about the probe even as rising numbers of guns crossed the border, and about 1,400 firearms remain unaccounted for, the House Oversight and Government Reform Committee reported in July. Congressional committees and the Justice Department's independent inspector-general are now looking into what happened, with Republicans accusing Attorney General Eric Holder of trying to stiff-arm investigators. But as embarrassing as ""Fast and Furious"" may be, it's not in the same league as administration-threatening scandals like Watergate or the Harding administration's Teapot Dome, University of Virginia analyst Larry Sabato said. ""The only scandals that matter in a presidential year are the ones that directly connect to a president,"" Sabato said. He added, ""Everybody admits it was a dumb idea,"" but similar programs were launched during the Bush administration. Nor does the controversy about ""Fast and Furious"" appear to be a mortal threat to anyone's job at this point, said Peter Toren, a former federal prosecutor and Justice Department official. ""It's certainly a black eye for the Justice Department,"" which oversees the ATF, Toren said. But he added, ""This is more of a botched operation rather than a scandal."" The flap has so far resulted in the ouster of acting ATF chief Kenneth Melson and the resignation of the U.S. attorney for Arizona, Dennis Burke, in August. President Barack Obama told ABC News in October, ""People who screwed up will be held accountable."" And Holder is likely to face tough questions about the matter next Tuesday, when he is slated to appear before the Senate Judiciary Committee. The committee's ranking Republican, Iowa Sen. Chuck Grassley, is a leading critic of the probe. Republicans have recently questioned whether Holder misled Congress about when he learned about the program. Holder told the House Judiciary Committee in May that he had known about the Fast and Furious program for just a few weeks; Republicans say recently released Justice Department documents show the attorney general actually knew about the program in July 2010, but a memo to Holder that referenced the operation does not appear to contain any of the controversial tactics it employed. Toren said Republicans are ""understandably"" trying to lay the blame for the fiasco on Holder. But Holder doesn't appear to have had ""intimate knowledge"" of the ATF program. ""There have been some suggestions that at least he knew something about it. He might have known the name, he might have been briefed that there was an operation,"" Toren said. ""I haven't seen anything that suggests that he should be held responsible for the program."" Holder slapped back in an October letter reaffirming his testimony and calling GOP allegations about the program ""irresponsible and inflammatory."" And he appears to have caught a break this week, when a top deputy told senators he failed to warn Holder and other Justice officials about the tactics used in ""Fast and Furious"" after a previous operation. Lanny Breuer, the assistant attorney general in charge of the criminal division, told a Judiciary subcommittee he first learned of the tactic of allowing illegally purchased guns to leave gun shops in April 2010, regarding a previous operation known as ""Wide Receiver."" ""I wish that at that time that I had said clearly to the deputy attorney general and the attorney general that in this case, 'Wide Receiver,' we had determined in 2006 and 2007 guns had 'walked.' I did not do that, and I regret not doing that,"" Breuer admitted. Sabato said Breuer ""is taking one for the team"" by admitting the mistake. His testimony may not satisfy Republicans, but, ""There isn't a smoking gun here for somebody as high as Holder,"" Sabato said. Nevertheless, Toren said, it's likely that the questions are going to keep coming as the investigations continue. ""I think it would be best to get out in front of it, say what really happened and let the chips fall where they may,"" he said.","""Operation Fast and Furious"" let hundreds of guns reach Mexico, investigators say .
Attorney General Eric Holder is likely to face tough questions at an upcoming Senate hearing .
The botched ATF probe is a ""black eye"" for the Justice Department, former official says .
But the controversy is not likely to become a major scandal, analyst tells CNN ."
"Washington (CNN) -- President Obama's plan to train and arm Syrian rebels in their battle against ISIS fighters faces deep skepticism from a large number of Democratic senators who will vote Thursday whether to approve the escalation of U.S. involvement in the deadly conflict. While Senate leaders are confident the measure will pass, misgivings raised by so many senators from the President's party speak to the difficulty the administration is having gaining traction for its ISIS policy. It also suggests an upcoming debate in November over whether to OK broader military action against ISIS could be contentious. House approves plan to assist Syrian rebels . Democrats have a 55-45 majority in the Senate (53 Democrats and two independents who caucus with the party). In a floor speech Wednesday, Sen. Joe Manchin, a centrist Democrat from West Virginia, cited reports that some of the moderate Syrian rebels the United States wants to arm had sold the American journalist Steven Sotloff to ISIS, which murdered him. ""Are those people our allies?"" he asked. ""I strongly believe that if our military arms and trains Syrian rebels, we will be involving ourselves in a ground conflict we cannot resolve, where potentially everyone involved is our enemy,"" Manchin said. ""There are a lot of people struggling with this vote right now,"" said Sen. Chris Murphy of Connecticut. ""I really have no idea what the ultimate vote will be."" Murphy, a freshman Democrat, is a leading critic of arming the rebels. He fears the weapons one day will be turned on Americans. ""I think it's very hard to sort out the moderate rebels from the extremists and I have a real worry that once we send these rebels back into the battle space there is very little we can do to prevent them from locking arms with al Qaeda or elements of ISIS,"" Murphy explained. Sen. Mark Begich, an endangered Democratic running in a tight re-election in Alaska, said he is unhappy the serious question about the Syrian rebels will be tucked inside a large government funding bill -- known as a continuing resolution, or CR -- and is not likely to face a up or down vote by itself. ""They shouldn't wedge this issue into the CR. This is an important issue to determine our role in the Mideast. For them to just throw it into the budget bill is a disservice to the American people,"" Begich said as he left a vote on the Senate floor Wednesday. Begich, like Murphy, said he supports other aspects of the President's policy to defeat ISIS -- including airstrikes -- but is concerned the weapons the United States provides the Syrians will ""end up in someone else's hands that are not our friends."" Other Democrats in tough re-election campaigns have struggled to make up their minds. ""I support the intent but I want to see the (legislative) language,"" Sen. Jeanne Shaheen of New Hampshire said. Asked which way he would vote, Sen. Mark Udall of Colorado told CNN he was undecided and ""looking at the language right now"" as he hustled to the Senate floor for a vote. Minutes later as he left the Capitol, he told CNN he intends ""to vote for the President's plan to arm the rebels."" Even Dick Durbin, the second-ranking Senate Democrat, couldn't say whether he would vote yes. ""There are some aspects of it I think need clarity,"" he said as he rode a subway car to a Senate office building to listen to Secretary of State John Kerry testify on ISIS before the Foreign Relations Committee. ""I want to wait and see. I think it's only fair to the people I represent and the President."" Sen. Claire McCaskill, D-Missouri, a member of the Armed Services Committee, pushed back on critics of the President's plan. She said the U.S. intelligence community will play an important role in vetting the rebels and that training could take up to a year before arms are provided. ""All of those people criticizing this choice, I have yet to hear their better idea,"" she said. Despite the lukewarm reception the President's plan has gotten from many Democrats, Sen. Chuck Schumer of New York, the third-ranking Senate Democrat, predicted it will pass. ""I think on the ISIS bill, while everyone is worried and has concerns, the President's proposal has broad support and I think you'll probably find a majority of Republicans and majority of Democrats voting for it, which in this place at this time is a rare thing,"" he said.","House votes to approve arming and training Syrian rebels .
Democratic-led Senate votes on the measure Thursday .
Many Democrats are skeptical and believe the effort could lead to a slippery slope .
Measure will be tucked inside a government spending bill ."
"Washington (CNN) -- The U.S. military has everything it needs to strike ISIS inside Syria and is awaiting President Barack Obama's authorization to do so, U.S. military officials tell CNN. For weeks, intelligence and military targeting specialists have been working around the clock on a list of targets. It's expected the list will be presented to the President one more time, with some analysis of the risks of bombing inside Syria, as well as possible rewards in terms of destroying and degrading ISIS, according to the officials. It is most likely that the target list will be broadly described to the President, with some analysis about what would be accomplished. Presidents generally do not review each and every target before a strike. The broad guidance is given and then the military selects the time, date, place -- after the President makes the political decision to proceed. Secretary of Defense Chuck Hagel told the House Armed Services Committee on Thursday that he and Chairman of the Joint Chiefs of Staff Martin Dempsey signed off on plans to strike ISIS in Syria. He said Gen. Lloyd Austin, the commander of the U.S. Central Command, briefed Obama on Wednesday on the plan for striking ISIS in Syria. ""CENTCOM's plan includes targeted actions against ISIL safe havens in Syria -- including its command and control, logistics capabilities, and infrastructure,"" Hagel said. ""Our actions will not be restrained by a border that exists in name only."" Obama is ""actively"" reviewing options and has ""offered guidance"" to the Department of Defense about the target sets that he's reviewed, White House spokesman Josh Earnest said last week. But Earnest said that Obama is not signing off on each strike. ""These are very difficult operational decisions that will have to be made on a case-by-case basis. Many of them don't rise to a presidential level, to the level of the commander in chief,"" Earnest said. House approves plan to assist Syrian rebels . In the ""old days,"" there were literally target ""folders."" The military would thumb through a sheaf of classified papers detailing the target, and what aircraft and bombs would be used to strike it. Nowadays, it's all computerized, of course. The goal, if not the process, is largely the same. The United States has been flying drones over Syria, looking at areas where ISIS operates. The drones are looking for personnel, equipment depots, training camps, and the locations of the group's leaders. U.S. officials tell CNN if top leadership can be located, they will be on the target list to strike. If past strike procedures against terrorist leaders in Pakistan, Yemen and Somalia are used again, the President would preauthorize strikes against the leaders, by name, and then they would be hit when located. The anatomy of ISIS: How the 'Islamic State' is run, from oil to beheadings . Intelligence is also collected by intercepting cell phone calls and monitoring social media sites that ISIS frequents. All of this is being repeatedly collected over a period of days because the Washington also wants to see any patterns of movement. Many of the targets are mobile, so they have to track them repeatedly. Intelligence also has to be collected on any regime forces, or air defenses in the area where the U.S. will fly. One important challenge: figuring out where civilians are located. Intelligence indicates ISIS has been moving into towns, hoping to blend in and keep safe from potential U.S. airstrikes. Iranian leader rips ISIS, questions U.S. willingness to 'sacrifice' in terror fight . All of this data is assembled for each target. Then the U.S. Central Command determines which type of aircraft and which type of bomb is best to strike the target. Strikes are expected to use precision-guided weapons in order to minimize collateral damage, especially in towns and villages. Those type of weapons can even be used to hit a precise part of a building rather than destroy an entire structure. Each target on the list will include an assessment of the risk of flying into that area of Syria and hitting it, but also an assessment of how the destruction could impact ISIS. The Pentagon is looking for targets to make a significant impact on ISIS, not just destroy small groups of personnel or weapons, military officials tell CNN. Kerry says Syrian President is using chlorine weapons .","Military officials are prepared to strike, waiting on President Obama's go-ahead .
Obama is ""actively"" reviewing target lists and has ""offered guidance"" to the Pentagon .
The U.S. has been flying drones over Syria, looking at areas where ISIS operates .
If top ISIS leaders can be located, they will be on the target list to strike ."
"Beijing (CNN) -- At first glance, it seems like a lot of roadside construction is taking place in this residential neighborhood west of Beijing's Tsinghua University. But a closer look reveals out-of-place pipes, mysterious pools of water and long hoses that run along the walls of nearby homes. The ""construction workers"" aren't paid laborers either -- they're local residents who have simply walked out of their homes and started hacking into the road. Why? For water. They lift tiles off the pavements and dig until they hit ground water. ""Who would dig up wells if there's enough water? There's just no water,"" said one resident who would only give his surname, Yin. His family had been suffering from water shortages on and off for months until they decided to take matters into their own hands. Growing demand . The Shuimo Community in Haidian district has grown rapidly and authorities have been unable to cope with the growing demand for water. ""We started receiving complaints from residents about water shortages since the end of July,"" said Liu Zhongmin, head of the Water Resources Office in the Department of Water Affairs of Haidian District. ""We're aware of local residents digging wells to get water. These are illegal constructions and should be demolished."" But any plans to fix the water supply problem have been delayed. ""We don't plan to do anything at this point as it'll spark tensions between us and residents,"" said Liu. He explained that any work on the pipelines in the neighborhood would not be straightforward. The community has grown from 1,000 residents to more than 8,000 in recent years, and new residents have occupied roads where pipelines are buried under their houses, according to Liu. For the near future, residents see only one way out of the situation. ""Everybody knows we're not allowed to dig wells here but what else can we do? Who can solve the problem?"" asks Yin. He adds that a well costs as much as RMB 40,000 (about $6,500) to complete. Freshwater supplies in China have been increasingly strained in recent years. A growing population, industrial development and widespread pollution pushes the lack of freshwater to crisis levels, according to China Water Risk. CNN's Linda Yin contributed to this report .","Residents in Beijing sick of water shortages, start digging wells .
Water authorities: Fixing the shortages is complicated .
Freshwater supply increasingly a problem in China ."
"(CNN) -- I was walking to my study on the campus recently when I came across the annual ritual: Rows of cars were being unloaded by parents bringing their kids to college. There was a whole beehive of young people, with special T-shirts marked ""staff,"" who helped the parents carry the computers, boxes, and other gear. A generation ago, I had to schlep that stuff myself (with the assistance of my bewildered freshman son). By the time I walked back home in the late afternoon, about half a dozen parents were lingering, chatting with each other, obviously reluctant to leave. They must have skipped the ""letting go"" event that my university, like many colleges, organizes to make the parting easier -- as one college dean put it, ""to take the gas out of the helicopters."" A couple asked me if I was a college professor. They wanted to know if my colleagues and I would notify them if their kid were to get into trouble. They assured me that they had no special concerns about their daughter. However, she had just turned 18, she had never been away from home for any long period of time, and she sometimes can be swept away by peer pressure, they allowed. The father also wondered whether the parents of other students would be notified if their children showed signs of mental distress, referring to this summer's shooting by a student at a theater in Aurora, Colorado, and to the Virginia Tech massacre in 2007. I reassured the couple that if I saw a student in trouble I would help, but explained that notifying parents is a surprisingly complicated matter. Help on the campus is readily available. My university, like most others, has elaborate psychological counseling services, medical clinics, and, of course, a police department. Beyond that, it has a ""care network,"" whose staff members ""connect the dots"" of information about students from a variety of sources -- including concerned fellow students, staff, and faculty -- and when need be, reach out to troubled students. But calling the parents of a student -- like so much in our lives -- runs into laws, regulations, and, yes, lawsuits. In 1974, Congress passed the Family Educational Rights and Privacy Act . It was enacted to protect students' records by requiring colleges to get written permission from students to share information about them with others, parents included. Most colleges understood the law as posing a blanket ban on notifying parents, although lawyers found some loopholes; they argued that maybe a professor could share ""personal observations."" The Higher Education Amendment, passed by Congress in 1998, allowed colleges to share information about students under the age of 21 with their parents in certain cases, including the violation of policies regarding drugs and alcohol. Following this amendment, many colleges started to notify parents, a change in policy that according to some research had beneficial effects. For instance, one study found that more than half (52%) of the colleges that increased parental notification saw a decrease in alcohol violations. (Critics argue that the main effect of such changes was to make the students more discreet when they abused alcohol.) The law (by some interpretations at least) limits the disclosure of information to parents who pay the bill for college. My university, for instance, will provide some information to a parent who submits a tax return in which they list the student as a dependent, a return that has to be resubmitted each year. The sociologist in me holds that family bonds do not suddenly end when a youngster goes to college, that the transition from being a kid at home to an adult on one's own should be a gradual one, and that students need their families' support. Colleges should nurture these bonds -- and benefit from them in promoting good conduct -- whether or not Mom and Pop pay. As one student told me: ""The legal firewall between universities and parents is unnecessarily strict. College life is a period of growth, and the university system does not always provide adequate guidance toward that end. Parents conintue to play a major role and should be encouraged, not dissuaded from doing so. Those students hoping to keep their affairs secret will just have to learn better discretion, which is in itself an important life skill for those hoping to hold on to their privacy in the modern world."" At the same time, I realize that some families are dysfunctional, and some students may have reasons to fear that the parents will yank them out of school (or at least stop paying) if they get less than an A average. Others may load students with so much guilt, or such heavy demands to respect the family legacy, that a student may yield to family pressures and major in law instead of, say, in music. Hence, it seems that a good way to sustain family bonds while protecting students from undue pressure is to allow the students, as my university does, to indicate from Day One which family members should be contacted. These may be grandparents, older siblings, or a stepmother or father. Families may have to hover less, but that doesn't mean students ought to be out of sight. The family's continued involvement is a major resource in helping students mature, even if they are no longer minors, as long as colleges also provide ways of protecting students from excessively intrusive parents. This is why the form that allows students to change their designated family contact is so useful. An assistant dean who is called in the middle of the night because a parent is concerned about Junior's grades, or a parent who loads a student's e-mail with endless suggestions, should be free to work out with the student a change in the approved family contact form. Colleges need to nurture family bonds but cut the hovering. The opinions expressed in this commentary are solely those of Amitai Etzioni.","Federal laws limit colleges' ability to inform parents how their children are doing .
Amitai Etzioni: Parents wonder about grades, how they'll know if a student gets in trouble .
Etzioni says policies vary, but it makes sense to keep parents informed about their kids .
He says colleges should also be wary of parents who hover too much ."
"Washington (CNN) -- President Barack Obama once again finds himself in the middle of a high-stakes, tension-fraught meeting with a key leader from the Middle East. Must be Monday. Just days after a historic phone call with Iranian President Hassan Rouhani, the U.S. president met with his Israeli counterpart, Benjamin Netanyahu, at the White House late Monday morning. The relationship between Obama and Netanyahu has been one of the more strained in the history of the two nations. Obama has come under criticism from some Israelis for what they perceive as a lack of enthusiasm toward pro-Israeli policies and interests. In March, Obama made his first visit to Israel as president, a charm offensive to reassure Israelis that the United States is committed to its security. On Monday, Obama said he has a ""good working relationship"" with Netanyahu, and he didn't mince words when talking about U.S. support of Israel. ""Our unshakeable bond with the Israel people is stronger than ever,"" he said. ""Our commitment to Israel's security is stronger than ever."" But beyond the handshakes and smiles the two leaders shared while talking to reporters about their meeting, this week will be a test of how they can work together. Poll: Most in U.S. favor negotiations with Iran over nukes . Both leaders said the new diplomatic overtures between the United States and Iran were a key topic for them on Monday. As he boarded his flight to the United States for his meeting with Obama and his appearance at the U.N. General Assembly, Netanyahu threw cold water on the developments. ""I will tell the truth in the face of the sweet talk and the onslaught of smiles,"" he said. ""One must talk facts, and one must tell the truth."" After his meeting with Obama, Netanyahu seemed to strike a more accepting tone while stressing that preventing Iran from developing nuclear weapons is ""the most important challenge"" that both nations face. ""I appreciate deeply the fact that you have made clear that you remain committed to this goal. I also appreciate the statement you made that Iran's conciliatory words have to be met by real actions -- transparent, verifiable, meaningful actions,"" he said. ""Iran is committed to Israel's destruction, so for Israel, the ultimate test of a future agreement with Iran is whether or not Iran dismantles its military nuclear program. ... That's the bottom line."" Netanyahu said sanctions against Iran should continue and even strengthen if Iran continues to advance its nuclear program during negotiations. ""If diplomacy is to work, those pressures should be kept in place. And I think they should not be lessened until there's verifiable success,"" he said. Obama said that if Iran wants sanctions relief, it will have to meet ""the highest standards of verifications."" ""It is absolutely clear that words are not sufficient,"" Obama said. ""We have to have actions that give the international community confidence that, in fact, they are meeting their international obligations fully and that they are not in a position to have a nuclear weapon."" In the latest indication of Tehran's new approach to relations with Washington, Iran's Fars News Agency reported that Rouhani wants to establish direct flights between Iran and the United States. The news agency cited the head of the High Council of Iranian Affairs Abroad, Akbar Torkan, as saying that Rouhani had instructed him to look into how to establish direct flights between the two countries. Over the weekend, Israel said it arrested an Iranian-born man and accused him of spying for Tehran. According to the Israeli government, the alleged spy was carrying photos of various sites, including the U.S. Embassy in Tel Aviv. Obama focuses foreign policy on Iran and Middle East peace talks . CNN's Leslie Bentz reported from Washington. CNN's Catherine E. Shoichet reported from Atlanta. CNN's Sara Mazloumsaki contributed to this report.","NEW: Obama and Netanyahu meet at the White House .
NEW: Diplomatic overtures between the U.S. and Iran are a key topic .
NEW: Both leaders say Iran's words must be backed up by actions .
The relationship between Obama and Netanyahu has been strained ."
"Al Ram, West Bank (CNN) -- The Faisal al Husseini football stadium was packed, two hours before kick off, with a noisy sea of Palestinian flags and white hijabs.   Football matches are always a big deal in the West Bank, but this game was more significant than most. 10,000 women had flocked to the stadium, on the outskirts of East Jerusalem and a mere few meters from the separation barrier that snakes around the West Bank, to watch a historic football match few would have believed possible just a few years ago: the Palestinian women's national team were to play Jordan in their first ever home international. Both teams gave laps of honor before the start of the game to mark an occasion that is rare in the Middle East. Football is hugely popular amongst women in the region but the development of the game has largely been held back by a social conservatism that disapproves of women playing what are deemed 'men's' sports. In Kuwait, attempts to set up a women's national team was met with outrage in the country's parliament. The move was halted after Waleed al Tabtabae, a hard line Islamist MP who chairs a committee charged with weeding out 'phenomena strange to society' decided that a women's football team was 'un-Islamic'. ""Committee members expressed their indignation...and total rejection of the idea of the women's football team on the grounds that football is not suitable for women,"" Tabtabae told the Kuwait Times. The UAE has only this year launched its own national team. A handful of teams exist in Saudi Arabia, although they are confined to the more liberal university campuses and have to be played in front of small, women-only crowds. In Iran women are banned from attending football matches and have to wear the hijab when they play, even in tournaments abroad. The Palestinian team has had its own, unique problems to deal with. Set up in 2003 at Bethlehem University, Israeli movement restrictions meant it was impossible to practice on the West Bank's sole grass pitch in Jericho. Instead, they had to train on a concrete handball court and play against local boy's teams. The only way the national team could play was to travel to nearby Jordan, but that created its own problems as it was difficult for players from Gaza to get permission to leave. Since the 2007 Hamas takeover of the Gaza Strip, it became even harder for women to take part. But the hardest part was convincing the families, both Christian and Muslim, in conservative strongholds like Nablus and Jenin to allow their daughters to play football. ""At first it seemed weird, women playing football in our society because it has a male mentality,"" said Honey Thaljieh, the team's 25-year-old captain when I interviewed her in 2007. ""Some families had problems sending their daughters to play football, some still face problems."" Yet two years on they have a Futsal league (an indoor version of the game), a national stadium to play in and a string of international tournaments to attend. The team even attempted to qualify for the 2011 World Cup, but narrowly missed out on reaching the second round. ""We go to the villages now and tell them [the parents] that it is not forbidden to play. Most of the team is now Muslim,"" explained Rouqaya Takrouri, the 45-year-old national team manager, who hoped the Jordan match would spur a new recruitment drive, inspiring some of the thousands of female spectators to believe they could play football too. ""We are talking to every woman now. We send out letters that say: 'Now is your time.' Last year we had six clubs, now we have 14."" For Thaljieh the match was particularly poignant. Since captaining the team she has fought for recognition within her own community, dedicating her life to the women's game by vowing not to get married or start a family until she retires, a controversial move in Palestinian society. As the game has grown, Thaljieh has become something of a symbol for women's rights in the region and has been feted by everyone from Cristiano Ronaldo to FIFA president Sepp Blatter who presented Thaljieh with FIFA's inaugural development award at the FIFA World Player Gala earlier this year. Standing pitch side, she couldn't hide her smile when asked just how far she thought the game had come in two years.   ""It is still difficult sometimes,"" she admitted. ""But this has broken all the rules for women here. This was a big event to get both women and men together in Palestinian society. In a way, today was like a marriage between the Palestinians."" To put the match in context, as many as 16,000 people crammed in to watch Palestine and Jordan play. When the US women's team last played at home, a 1-0 victory over Canada in New York last July, just 8,433 fans turned up. But not everyone in attendance was there for football. Outside several thousand men who couldn't get in clambered on to surrounding rooftops, others scrambled up nearby wire fences, whilst some even crowded on top of a parked bus. Although a different type of union was on their minds. ""All these men are here to see the women and I'm here to see the chicks too,"" admitted Abdullah Alawad, a 20 year old architecture student. ""Maybe the girls are here to see the guys too,"" he added rather hopefully. The game itself was a surprisingly tetchy affair, with two players stretchered off after being on the receiving end of several crunching tackles, much to the anger of the Jordanian team's (male) coach. His mood wasn't helped when Palestine won two dubious penalties.   A late Jordanian equalizer secured the 2-2 draw they deserved. But for the women watching, the result was less important than the game itself. After the final whistle both sets of players hugged and embarked on another lap of honor in front of an ecstatic crowd. ""We want to prove that we are better than the men at football,"" explained Asala el Wazeer, an 18 year old student who stood with her friends in the crowd. ""It has taken us years to get to this point. We are very proud of the [Palestinian] team."" In a way, she was right. Palestine had played Jordan in the first ever men's international exactly one year previously. They only managed to score once. But for Thaljieh, held aloft on the shoulders of her team mates in front of a crowd that included the Palestinian Authority Prime Minister Dr. Salam Fayyad, the match sent a powerful message to the outside world. ""This is important and shows the world that we don't care about the barriers and the checkpoints,"" Thaljieh shouted over the noise. ""We have shown the world that we can fight, but that when we fight, we fight through peaceful play.""","Palestinian women's national football team play Jordan in historic first home match.
10,000 women turn up at the Faisal al Husseini stadium in East Jerusalem.
Thousands of men turned away and watch game from near by rooftops.
Women's football has suffered in the Middle East due to social conservatism."
"London, England (CNN) -- He is behind some of the most infectious advertising campaigns of recent years, creating online sensations and forging communities of followers. Australian David Droga is the maverick adman who became an executive creative director -- the chief creative thinker at an agency -- at just 22. He now runs his own New-York-based advertising agency Droga5, following stints as executive creative director of Saatchi & Saatchi, London, and worldwide chief creative officer of Publicis. You may not recognize the man regularly called the ""guru"" of the ad world, but you will probably know his work. Some of Droga5's best-known campaigns include ""The Great Schlep,"" for which U.S. comedian Sarah Silverman made a viral plea encouraging people to visit their Jewish relatives in Florida and convince them to vote for Barack Obama. Droga5 also masterminded the spoof video of graffiti artist and entrepreneur Marc Ecko apparently breaking into an Air Force One base in 2006 and spray-painting the words ""Still Free"" onto an airplane. The video became an online smash and got so much media attention that the Pentagon issued three statements denying that the footage was real. On the back of it, Droga5 won the top digital media award at the Cannes Lions Advertising Festival -- the ad world's Oscars -- in the same year. Indeed, Droga is the single most awarded creative at Cannes, with over 50 Lions under his belt and since forming Droga5 in 2006, has acquired clients Coca-Cola and Microsoft. The youthful Droga, who co-presents this month's edition of CNN's arts and culture program ""icon,"" is not resting on his laurels, though. He told CNN, ""Perhaps one of the greatest and biggest changes in the advertising industry has been the way brands sell themselves and the mediums in which they do that. ""It's as much about the communication,"" he continued, ""But also now it is the body language of a brand ... how it actually operates and exists in the real world."" Some of Droga5's clients include Method, the environmentally friendly cleaning products company, and sportswear brand PUMA, a company that prides itself on its ethical and ecological record. Droga believes that a respectable brand can wield considerable power. ""Advertising now takes on a far greater role of social responsibility and contributing to society,"" he explained. ""It seems like not a lot of the world's issues can be solved by big government,"" he said, ""But they can be solved by brands, and brands putting their best foot forward need advertising."" Droga5's prowess extends to successfully marketing charitable projects. Its campaigns include the UNICEF ""Tap Project,"" which asked restaurant-goers across New York and beyond to donate a dollar for the tap water they received for free, and the ""Million"" project for the New York City Department of Education, which awarded mobile phones and minutes to schoolchildren based on classroom performance. ""I set up Droga5 because I really believe in the power of advertising,"" Droga said, ""But I believe in the power of advertising that's in synch with what consumers want."" ""I believe in creating ideas that consumers actually want to engage in, creating movements with our thinking and not bombarding them into submission,"" he continued. That's why he thinks behaving responsibly is the best way forward. ""There is good business doing good,"" he said.","Advertising guru and founder of agency Droga5 is a giant of the business .
Previous campaigns include ""The Great Schlep,"" encouraging Jewish people to vote for Obama .
He is the most awarded creative at the Cannes Lions Advertising Festival .
His company, Droga5, is committed to representing brands with a social commitment ."
"(CNN) -- Former astronaut Buzz Aldrin is one of the privileged few to have walked on the moon, but he hopes space tourism will be much more of an equal-opportunity experience. More than 40 years after the historic moon landing, Aldrin is now consulting for the U.S. government about the future of the country's space program and how to make space more accessible to everyday people. NASA has driven space exploration for decades, but with the rise of Virgin Galactic, Space X and other companies that focus on suborbital flights, the private sphere and government programs are appearing to intersect in the realm space travel. ""Private wants a return on investment, a profit. I think there's some profits to be made by going to the moon,"" Aldrin says. Read more: Is $250,000 a bargain for a seat into space? The bigger question may be how passengers are to be chosen. When this question was discussed 25 years ago, Aldrin says, an obvious answer was to offer the flights to the highest bidders. ""But somebody in the back of the room said, 'How about a lottery?' Man, my ears perked up at that, and I became a devotee of a lottery to select people,"" he says. A lottery system would produce the kind of return on investment Aldrin wanted to see. ""I wasn't interested in a big payoff or the profit made. I was interested in exposing space to a large number of people,"" he says. Read more: Your own private Airbus A319 jet . Nowadays, Aldrin spends most of his time on the road, with a schedule packed with scuba diving trips, international meetings on space, visiting members of Congress and developing his nonprofit organization, which aims to build interest in space and advocate for affordable space travel. Even for the man who has logged more than 280 hours in space and has literally seen the world, the inconvenience of earthly travel can still get to him -- most of all, the airport security checks. It is perhaps fitting that Aldrin continues to explore, and not on land either, instead voyaging underwater with scuba gear. He counts Micronesia as one of his favorite places and has visited multiple times. Read more: What does being weightless really feel like? ""I visited Pohnpei. I dove on Japanese war ships. And we recently dove in a further island, Palau. That was really good."" But the final frontier is still out there. Although Aldrin's mission for years has been for civilians to travel to the moon, his broader dream for space travel is for humans to land on Mars someday. ""I'm not trivializing Star Trek, because my hopes for the future is based on USS Enterprise, to boldly go where man's not been before,"" he says.","Former astronaut Buzz Aldrin wants to see space travel more accessible to the masses .
He works with the U.S. government to discuss the future of the country's space program .
Private companies are influencing space travel more than in the past, when the government dominated exploration .
Aldrin supports a lottery system for deciding who will become space tourists ."
